school_name,comment
七台河职业学院,哥远
三亚中瑞酒店管理职业学院,"一摊,民办,月份,玩意,海南,之史"
三亚城市职业学院,"大将军,哈哈哈,民办,张俊,人来"
三亚学院,"交着,摔死,要盖,浙江人,流放,公关,詹姆斯,闻所未闻,三院,种树,李书福,几杀,涨水,洞有,富哥,根据地,恋爱,民办,大一,高考,糟粕,岭南,三亚,冒充,办学,respect,大道,学院,三上,囚徒,包花,学校"
三亚理工职业学院,"值班,三亚,民办,对外,三院"
三亚航空旅游职业学院,"谦和,泥城,制服,劝导,陈煜琪,民办"
三峡大学,"诈骗,差距,校友,最湿,三峡,尼格,母校,求索,晴空万里,大学,新生,两星,三大到,汤金鑫,一万遍,在校,收留,三大,国网,租给,停电,池浅,加油,北大,一娃,学校,理工科,宣传册,王中洋,公办,大专,实话,六星,别骗,考上,校门,阮星钧,无敌,施工,研学,monkey,哈哈哈哈,电风扇,宜昌"
三峡大学科技学院,"感谢,左边,学校,民办,食堂,这所,强制,高考,放歌"
三峡电力职业学院,"进厂,妖风,手写,母校,勾史,不行,校门,之巅,之耻,辅导员"
三明学院,"三明,校园网,不来,辅导员,嘻嘻,山冥穴院,既来之,没听说过,摩尔,有山大,村中村,a6,22,形楼,毕业,山冥,少壮,依托,养老院"
三江学院,"学校,成绩,晚自习,垃圾,loser,嫡子,民办,diao,洗衣机,本科,东山,只爱过,翻新,男生,贫民窟,休学,食堂,爱国,兄弟,三江,辅导员,经验,校霸,淡江大学,完颜,风景,它值,变态,公办,goat,螺丝,老破,南财,东方"
三门峡社会管理职业学院,"666666,10,餐费,勾史,寝室,好好,大专,牛马,六六六,跑腿,公办,教官,狗史,不有,中专"
三门峡职业技术学院,"曹子祥,三门峡,实为,比样,勾试,史中,坐过,大飞,真上,公办,名字,便宜,几把,Faker,一堆,螺丝,荒漠,勾史,学生会,学妹,校园卡,菜市场,哈哈哈,2k,隔壁,空调,早八,表白,曹哲,15,电子厂,逼样,社管,中等,酒店,校徽"
上海东海职业技术学院,"上海交通大学,民办,多钱,导员,一分,墙有"
上海中侨职业技术大学,"民办,洞人,嘉华,有个,学院,妹妹"
上海中医药大学,"寒假,一中,评分,几点,课表,选课,80,下线,体测,评奖,他怕,球场,吊打,我爱上,22,康复"
上海交通大学,"华师大,凯原,超群,荣校,致远,虽有,四六级,原神,一啃,五分,母校,米哈,通道,来水个,饮水思源,修好,终于,熬出头,Bxj,五星,啥意思,985,巨浪,点赞,喜欢,同学,ds,年头,xdm,女神,一星,老底,爱国,交大,担负起,研了,54749110,黑暗,满分,针头,哥是,bxj,公办,原批,忆夫,频率,步行街,mhy,上海,女生,贵校,表白,满昏,国际化,二餐,六级,石楠,top3,出大,Top3,伟哥,修两,一哥,不思进取,学校,思春,果断,211,二月,No1,超越"
上海交通职业技术学院,"这波,差评,22,说漏嘴,评论,刘老师,同学,114514"
上海健康医学院,"学校,没考上,业余,二星,奥利,勾史,妹子,台球桌,m3,公办,辅导员,满分,本科专业,吸烟室,水吧,交大,金京,医学院,泡过,下头"
上海兴伟学院,"学费,民办"
上海农林职业技术学院,"农校,校徽,校区,牛马,农林,原神,run,太小,学校"
上海出版印刷高等专科学校,"赞美,评分"
上海南湖职业技术学院,"上克,马路上,职校"
上海商学院,"学弟,大专,垃圾,张老师,18,身压,双非里,学校,哥爹,细说"
上海城建职业学院,"升牛,第一,王丹,就业,方鸿有,一星,好好看,23,陈米,升个,杨浦,吸烟室,舍友,牛魔,市样,极限,公办,校区"
上海外国语大学,"上外,迎宾馆,一颗,冤大头,代币,最强,机会,第一名,学校,乐色,小破外,美国,专业,公办,母校,明明,下河,cff,五星,宿舍,有个,gv,荒漠,前女友,Sisu,保研,加油,中国,中肯,何出,哪届,诈骗,分比,虹口,为啥,提前,妈耶,学长,211,女朋友"
上海外国语大学贤达经济人文学院,"考上,五脏,七个,15m,妖风,玩意,23,荒郊,第一名,民办,大学"
上海大学,"串子,垃圾,要来,号楼,WIN,分可上,鼠大,早崩,少有,五星,罗昱,比数,平均分,SBU,多分,校友,夏季,为鼠,七年,选课,公家,保研,放寒假,魂环,SHU,分数,本科,100,校区,tl,学校,公园,学期,感受,重庆大学,整大,考完试,涨价,里导,面试,14,打六星,绩点,145,没人敢,疫情,公关,抑郁,上海,满分,大专,选择,北京大学,开学,能教,最拉垮,半句,大学,210.5,电瓶车,23721203,为啥,shuer,延毕,985,太好了,服装,本硕,水平,哈哈哈,哪几个,211,公办,名气,文科生"
上海对外经贸大学,"zc,吊打,四六级,不错,211,公办,小黄,fw,pre,两财,海星,实用,扣分,六百万,22,别去,大专,氛围"
上海工商外国语职业学院,"几把,支持,我爱你,大学,民办,复旦,表白,实话,早自习,飞个"
上海工商职业技术学院,"实名,民办,奶奶,支持"
上海工程技术大学,"工技,哇哇叫,全靠,从来如此,神中神,坚果,校友,上海交通大学,厕所,30,草坪,金宫,斯坦福,说来听听,快递,608,满昏,确实,教你做,飞天,寝室,六分,高分,垃圾桶,吊打,车人,秋招,俞涛,能修,垃圾,妹子,广富林,第一,半截,点大,人性,西葫芦,win,23,公办,哈啰,高校,答辩"
上海工艺美术职业学院,"二本,下桌,职高,造诣,二次元,专升,地铁,dhy,复读,升本,炸裂,公办,师资,吊打,午休,牛刀,课念,永垂不朽,nb,好使,钓鱼,难吃,工美,课程表,食堂,用带,宿舍,学长,大专,hyy,op,专升本,TM,专科,老师,进货,抄起,夕阳红,漆艺,麻雀虽小,人情世故,WBG,哈哈哈"
上海师范大学,"冠军,沙贝太多,年装,奉贤,美女,不错,高不成低不就,二本,球王,一本,shnu,母丑,过球,工地,同学,师专,母校,校友,生环,伙食,很烂,低分,热死,学姐,校草,上海师范大学,无书,封校,多而考,SHNU,寝连个,师大,010,好评,太帅,生不逢时,切割,733,公办,冲击波,忍忍"
上海师范大学天华学院,"之大,足算,民办,清华,三尺,何如,英语,屋里,成圆,远离,天华,学校,大学,龙井,思密达,自立,甚善"
上海应用技术大学,"清北,学弟,奉贤,五五开,22,一拖,无敌,1600,五人,技校,Promax,神中神,母校,美的,吊打,改改,煞笔,华东理工大学,麻省理工,五星,光花,tmd,辅导员,top3,赶慢,大专,边角料,停车场,SIT,溢出,纯纯,jr,wyh,清华,19,公办,华东科技"
上海建桥学院,"民办,刘伟山,依托,一星,那点,个研,考走,B23,高中,答辩,有个,南九,大学,没钱,当心,碰瓷,五星,胡萝卜,难评,母校,皇家,冒充,二流"
上海思博职业技术学院,"一分,這屁話,国人,垃圾,跟个,食堂,民办,五分,训成,读思博不读,学姐,院长,不让,皇权"
上海戏剧学院,"考上,疾病,1000,京剧,正好,杨剑明,上戏,昌林路,女朋友,吃席,我误,满分,三径,至善至美,闲散,哈哈哈,食堂,开小会,学校,情校,莲花路,放个,细说,圣殿,乐瑶,母校,王中王,不太想,井盖,遥遥领先,看多"
上海政法学院,"配虎,公办,低人,改名,一号,上政不大,舆情,母校,高铁,说儿,政法大学,评论,无敌,之快,地方史,教室,依托,懂不懂,我政给,垃圾,更名,修一修,学校"
上海旅游高等专科学校,"旅游界,师大,cosplay,黄埔军校"
上海杉达学院,"校区内,海鲜,快乐,仙女,985,公共厕所,进别,一晨,兄弟,届顾,名宿,树林,学校,正儿八经,财管,不冲,边上,微信,校长"
上海民航职业技术学院,"沟湿,数学老师,我院,食翔,下辈子,打爹,2.5,脆皮,黄埔军校,体验,本科,校友,军事化,艰难曲折,多且,六颗"
上海民远职业技术学院,"三分钟,校区"
上海济光职业技术学院,"上海,学生,巴结,读济光,杨浦,比上不足,民办,课程"
上海海事大学,"Joker,冒充,学不,海事,海运,海专,速速,公办,破军,倒数,讲个,陆航,狗屁,隔壁,薄纱,颜值,坑钱,商船,节假日,海琴饭,小丑,丑闻,专凭,没交过,偏出,偏安一隅,驾校,上海,透孙狗,打卡,池浅,满昏,努力,要钱,内耗,若至,混在,孙狗"
上海海事职业技术学院,"寝室,校区,厕所,满分,名字,但别,专科,离谱,一眼,bigfly,大专,歪瓜裂,下虎,几百人,杳无音信,东神,疑似,宿舍,一泡,同学"
上海海关学院,"1403,蔡小,12,督察队,毕业,搞海管,还次,高专,难显,关院,装样子,海关,池浅,准军,一星,大专,公办,关包,公务员"
上海海洋大学,"抖音,19,妄称,海事,真实,爱不爱,控评,校区,海大,水专,新生,大专,黄文斌,勤朴,加史,二本,像史,好吃,不读,20,疫情,导员,十余载,海洋大学,ED,人不知,一流,yyds,15,学子,永劫,陕西人,本书,寒窗,一星,公办,水产,t0"
上海理工大学,"上有天堂,上理,氛围,纯看,火车,好评,何在,五角场,开颅,基院,双非,自裁,中德,松鼠,舍友,总得来说,yyds,公办,强身健体,usst,211,理工,安全帽,掉头,大专,宿舍,调头,不争气,传奇,大学,升个,满昏,亿百昏,升双,拍戏,剧组,12,夏宇汗,食堂,土木,工地,光电"
上海电力大学,"乱升个,哈哈哈,韩俊宇,亲笔签名,人下,重修费,大学,上海大学,自动化,22,一星,上电,大专生,狗场,我滴,华电,撑场面,红利,道理,分数线,二本,杨浦,我电,丑得,大专,要死不活,23,24,实名,上电里,211,电专,强电,专业,每力,一本,win,细说,电力大学,垃圾,可恶,石锤"
上海电子信息职业技术学院,"上课,木有,王玉扬,上电,小吃街,wsy,这分,镇上,洪庙,卫浴,试讲,不行,玩意,动物园,职业,牛魔,king,老尸"
上海电影艺术职业学院,"最低,母校"
上海电机学院,"垃圾,win,特别,eason,李凌翔,集合,母校,清华,多好,酷酷,学长,航打,电机,一星,小子,航空航天,没网,6.5,大专,改名,错过,老师,沙波,东西,改个,DJ,天下第一,海事,一伯分"
上海科学技术职业学院,"23,满分,搭遍"
上海科技大学,"母校,10,公办,无敌,满分,研究生,卷王,高来,系列,不出,实验组,老必,就读,北邮,hr,我选,羡慕,老毕,Nike,科大,华师大,平衡,小而精,win,stanford,成才,体验"
上海立信会计金融学院,"依托,学校,211,名字,破烂,烤红薯,卧槽,萌萌,究极,多开,二本,垃圾,牛肉面,来考,宿舍,2028,除双,上财,给你个,600,贵校,苟十,纯纯,点分,立信,答辩,yyds,top2,大爷,盘饭,提篮桥,公办,忘不了"
上海立达学院,民办
上海第二工业大学,"最不缺,清华,性别歧视,吊打,亲嘴,第二次,一套,tm,报名,第一,小男娘,河东,流浪汉,别来,大分,二本,聊聊,大专生,原石,大专,权益部,本科毕业,纯纯,繁华,晨跑,上海大学,先点,上榜,工大,装逼,五星,朱言鼎,当小红书,学生,算了吧,劳模,曹恒琛,上大,全在,1w5,外省市,确实,一栋,天天,麻雀,最烂,600,我鲁"
上海纽约大学,中外合作办学
上海行健职业学院,"牛丽媛,外卖,行健,毕业,23"
上海视觉艺术学院,"发音,复旦,拍别,SVA,事情,七子,模仿,原本,感觉,隔壁,学校,样子,瑞平,大学,民办,男童,外包,无语,抖音,学费,就业率,工资卡"
上海财经大学,"天天,五星,财三选,隔壁,数分,211,分段,上海,公办,两财,上海财经大学,单独,绝唱,半圈,好吃,北邮,在校,就业,厚德,梦想,考研,央财,gpa,番茄,讨教,母校,打个,辅导员,分校,分数,时光,保研,中财,CDNB,踏床,带带,jgc,人大,羊财,实力,哈哈哈,财大,牛牛,根烟,遗憾,提篮桥,校友会,资格,统计学,一大堆,碰瓷,NB,优秀,个人感觉,上财,自由,西电,匡时,时事,别报"
上海财经大学浙江学院,"搞不清,女生,电瓶车,混日子,民办,泰裤,辅导员,开会,早自习,室友,名字,别来,发音"
上海邦德职业技术学院,"戒网瘾,选择,高中,民办,管管,不算"
上海震旦职业学院,"垃圾,复兴,200,复旦,震旦,蒸蛋,好好学习,华茂,东西"
上海音乐学院,"哈哈哈哈,练声,情校,归西,声乐系,音院,汗流浃背,一分,SKY"
上饶师范学院,"逸夫楼,游能,啥意思,有书,四年,上官,热评,鸿豆,包容,收留,22,博文,排不上,傻不拉几放,深有体会,广丰,xxn,被删,吴香菲,老师上课,海洋学院,六颗,我为,黄博,上饶,低校,易际伟,公办,丑八怪,老登,太牛,亲测,学姐,林军龙,五星,寝室,隔壁,老大"
上饶幼儿师范高等专科学校,"精辟,福海,上饶,幼专能"
上饶职业技术学院,"毕业证,寝室,校徽,有个,逼事,笑麻,第四十,广信区,罗大,天堂,室友,校园网,带笔,上不起,黑中介,130,职院,塌马,开玩笑,进厂,校草,罗桥,学长"
东北农业大学,"打分,院士,查寝,沈超,不停,放眼,大三,售卖,专升本,农专,求偶,担待,东农,NEAU,goat,23,扣二,gc,甜甜地,四季,不管怎么,211,停电,室友,太偏,公办,冰红茶,米其林,香坊,网名,后稷,分波,不好,前两天,食堂,真想,特意,龙江,高佳旭,明德,高校,少颗,校园,席卷,满分,成栋,发音,22,校园网,母校,冬暖夏凉,外卖,上车,小红帽,学校,第一排,还管,饭堂,推迟,伙食,五星,停水,朋友,笃行,校友,学院,阿姨,东北,主打,典型,好运,小便,南四,关怀,农大,康师傅"
东北大学,"菜鸟,xxm,北大,第一块,公办,学校,黑皮,先安,8.0,打篮球,南边,run,空调,泪千行,宿舍,满星,浑南,人才,校徽,感犯,win,一分钟,白山黑水,神话,前身,彳亍,停电,赶紧,一点,七月,难民营,哥们,东大,绝逼能,吊打,211,自强不息,母校,妈安,9B5,24,薛浩宇,风华,逸夫,校庆,自卑,太美丽,肖一航,985,大连海事大学,大学,梦校,门锁,东兵,为荣,再冲,东北大学,模拟,第一台,先给,骄傲,楼用,海事,书记,桑拿房,秦校,难吃,东北,五星"
东北大学秦皇岛分校,"沈阳,全装,硕士,哥们,run,校区,河北省,做梦,分数线,满昏,技术员,双非,50,官威,青年,高校,985,保研,分校,知行合一,前段时间,胡说八道,把鹏远,汤职,莫过于,好像,爱死,燕大,nmlgb,东秦,荣耀,赶走,第一,输麻,万古,赶上,牙关,录取,两字,公办,211,小汤,向潇湘,大义,984.5,既来之,扩招,青春,张嘉博,摔破,不用,五颗星,老哥,top,东北大学,好歹,跑操,650"
东北师范大学,"关窗户,而学,长白,上岸,东北师范大学,二三,毕业,克利夫兰,前女友,远方,难受,三本,舍六人,情校,后花园,想教,好评,炽烈,预备役,有荣,通去,校区,高水平,不雪休,学姐,军训,斯文,母校,创新,yyds,211,第一第二,这批,感动,不能不要,学子,辽宁省,极强,2016,别梦寒,正门,400,泪目,为人师表,隔壁,青春,满分,抵不住,东北大学,基础教育,关怀,天天,老师,大工,通知,原因,群星璀璨,星星,人间,山沟,快点,唯一,暴雪,指日可待,砥柱,外教,哥们,在我心中,附属,公办,学弟,硕老,梦校,东师"
